row_num,timestamp,date,time_utc,temp_dht,temp_ds18,temp_delta,humidity,soil_moisture,co2,light_intensity,heat_index,vpd_kpa,fan_state,pump_state,sensor_source,ds_status
1,1781471734.152,2026-06-14,21:15:34,31.87,31.6,0.27,18.84,24.71,235.0,1486.5,29.8,3.831,OFF,OFF,simulator,ok
2,1781471739.146,2026-06-14,21:15:39,31.06,31.16,0.1,20.77,22.47,261.3,2293.7,29.16,3.572,OFF,OFF,simulator,ok
3,1781471744.148,2026-06-14,21:15:44,31.29,30.81,0.48,22.27,26.0,229.3,1807.9,29.44,3.55,OFF,ON,simulator,ok
4,1781471749.148,2026-06-14,21:15:49,31.65,31.96,0.31,18.11,23.93,222.9,1852.7,29.58,3.817,OFF,OFF,simulator,ok
5,1781471754.149,2026-06-14,21:15:54,31.4,31.23,0.17,19.27,27.04,230.8,1874.2,29.4,3.71,ON,ON,simulator,ok
6,1781471759.150,2026-06-14,21:15:59,31.63,31.13,0.5,21.62,24.93,224.2,2158.7,29.72,3.65,ON,OFF,simulator,ok
7,1781471764.151,2026-06-14,21:16:04,31.48,30.97,0.51,19.33,26.2,248.9,1678.5,29.47,3.724,OFF,ON,simulator,ok
8,1781471769.151,2026-06-14,21:16:09,31.0,30.71,0.29,17.65,26.51,257.1,2061.2,29.0,3.7,ON,OFF,simulator,ok
9,1781471774.154,2026-06-14,21:16:14,31.27,32.36,1.09,22.09,24.72,231.9,1888.8,29.42,3.554,ON,OFF,simulator,ok
10,1781471779.152,2026-06-14,21:16:19,31.62,31.87,0.25,20.04,24.36,251.7,1715.6,29.63,3.721,OFF,ON,simulator,ok
11,1781471784.153,2026-06-14,21:16:24,31.68,31.33,0.35,18.95,27.75,242.3,1706.6,29.64,3.785,ON,ON,simulator,ok
12,1781471789.156,2026-06-14,21:16:29,31.78,31.99,0.21,18.81,22.93,241.7,2044.0,29.72,3.813,ON,OFF,simulator,ok
13,1781471794.158,2026-06-14,21:16:34,30.77,30.29,0.48,21.35,24.71,234.6,1809.5,28.93,3.487,ON,ON,simulator,ok
14,1781471799.158,2026-06-14,21:16:39,31.39,31.31,0.08,20.0,28.68,232.8,1804.8,29.42,3.675,OFF,ON,simulator,ok
15,1781471804.158,2026-06-14,21:16:44,31.36,31.41,0.05,21.69,27.31,216.7,2242.5,29.48,3.591,ON,OFF,simulator,ok
16,1781471809.159,2026-06-14,21:16:49,31.23,31.24,0.01,22.01,24.2,240.2,1933.9,29.37,3.55,OFF,OFF,simulator,ok
17,1781471814.163,2026-06-14,21:16:54,31.56,31.61,0.05,20.38,25.57,250.0,1668.5,29.59,3.693,OFF,ON,simulator,ok
18,1781471819.160,2026-06-14,21:16:59,31.37,31.29,0.08,18.68,20.9,224.6,1704.3,29.35,3.731,OFF,OFF,simulator,ok
19,1781471824.162,2026-06-14,21:17:04,32.01,31.59,0.42,19.46,27.41,244.5,1852.6,29.96,3.832,ON,ON,simulator,ok
20,1781471829.162,2026-06-14,21:17:09,31.85,32.12,0.27,18.78,25.82,228.2,1636.7,29.78,3.829,ON,OFF,simulator,ok
21,1781471834.162,2026-06-14,21:17:14,31.54,31.47,0.07,18.17,23.44,236.6,2068.8,29.48,3.791,ON,OFF,simulator,ok
22,1781471839.162,2026-06-14,21:17:19,31.44,32.0,0.56,22.22,27.6,229.7,1813.2,29.58,3.583,ON,ON,simulator,ok
23,1781471844.165,2026-06-14,21:17:24,31.48,31.49,0.01,22.19,28.73,243.4,1715.8,29.61,3.592,OFF,OFF,simulator,ok
24,1781471849.165,2026-06-14,21:17:29,31.67,31.52,0.15,19.45,29.37,238.5,1940.4,29.65,3.759,OFF,OFF,simulator,ok
25,1781471854.165,2026-06-14,21:17:34,31.45,30.83,0.62,18.74,29.4,225.2,2099.8,29.42,3.745,ON,OFF,simulator,ok
26,1781471859.166,2026-06-14,21:17:39,31.03,30.63,0.4,21.93,21.21,232.7,2048.9,29.19,3.513,ON,OFF,simulator,ok
27,1781471864.167,2026-06-14,21:17:44,31.53,31.6,0.07,22.01,25.31,241.6,1818.5,29.65,3.611,OFF,ON,simulator,ok
28,1781474713.422,2026-06-14,22:05:13,33.07,33.15,0.08,19.84,25.77,277.3,2877.2,31.0,4.048,OFF,OFF,simulator,ok
29,1781474718.422,2026-06-14,22:05:18,32.33,32.08,0.25,25.74,24.73,282.8,2620.8,30.73,3.597,ON,OFF,simulator,ok
30,1781474723.422,2026-06-14,22:05:23,32.6,32.75,0.15,24.59,27.13,281.3,3081.8,30.91,3.709,OFF,ON,simulator,ok
31,1781474728.423,2026-06-14,22:05:28,32.62,32.42,0.2,24.11,25.19,288.4,3319.3,30.88,3.737,OFF,OFF,simulator,ok
